id,totalMinedBlocks,totalRewards
qzkCku4BbZ2tNtFWyswpWDS1nP4ZkVbAFSQJE4woiYRPwPuQZ,1063,10260491494911585
qzp4XnbWTHwNaDoPb6GYmDxRH4yjG5JhAkRRCJFrPKmwChWC5,1061,10000652715664586
qzm4SNCVRQMpLrns1RZiBw6kNjzdSXQxMYQ9pcm6Gw1U5jPfF,1032,9930437357262669
qzocBuPC4htQ7TusY6RPfDuvxZW76tMciJ4rNGXMFsMgcxra8,1027,10130160676004931
qznpLBTmpowK3uH1zajqrCP9Ms81w4MvhLEgQ1wc7jGMHqyiZ,1009,9550630713913585
qzp2NKfUKpUGiPmEzXL1SrxyXPHrfWaN7k8szT3Jyv2QNiDzN,973,9510224679506834
qzmMnY6RURWJBhJ9dZE7nJ6NxmiG3soA8ksKPyEc44MLRdNdD,940,9150289361903664
qzpxfsNZJvqiKJJeaahCMFNc25EbtcAH1v8VsPuV9wPETBGZt,888,8780106672503110
qzjnhnm6B843ctXR9okYY5yr2wLCJ9bwTLBVp9whkDB2mM6bc,880,8410418703407978
qzpyutoZE1DTpP9MdLa6JHxAUL63munZByRLAaZuLDWqKSczH,842,8090407666294119
qzmVGCXECMw743XNz2exq7HWGQF5MyxyDjZh3StUK5u9qeD98,842,8380042669001244
qzo49YQ3Du3rCNMg1c4jvq74V2nCSYkvtg2FgcPgSJjGWby5D,814,7810363709505702
qzorzTjTDfgF2aWSjpb7X8j2cFLMfnbPokP74vnVzKiDQwJ4n,806,7970117339753398
qzm4mRPSvbCBP3365Mm4aAFTK8pzVeNeCvWKEFzupxG5AnE6R,800,7910096005252799
qzn5St24cMsjE4JKYdXLBctusWj5zom67dnrW22SweAahLGeG,781,7410524041410534
qzo8Nynu1zHsL4Kv3KauzGyKsNnbHraMFULAdixG27UqtEzbJ,779,7670108728898688
qzkueR6bJTaPhme2AQJVM79J3tCHV5Y3MxUyG1WkMZEwUWZn1,775,7370406443749883
qzmvqBvd3G3Zhko8C3NmP1hRHnYR8xH6z5eXDqTsPj4ujnVHz,764,7360320859484857
qznjf2vHZsqLsRom9rJYYphFmUCH238dPAbvwRfb1Rb55gx4Y,753,7171525416793742
qzpYbpDas1mtHqibGvmi1sDv6aqQibiNhXihasMpCSYPraQUJ,741,7060407122644900
qznD41x7RFCzuyhCDsaCxriNM8SbPbTbwPqH8Hfn3ipojLyoK,716,7050150008754641
qzkzyez9vMXtG9zti4Y8yzH2z1hU2UQhYAVnyt7mGJHUi4yhp,686,6650195994008111
qzqET4W49fXJyJYM7NSxqmYDQbZ8BuUXtn57CxRogtskJyDuG,685,6540314723195543
qznGVokAH4LBTiTveYCFkD2o1w13JNsckYmtWiLR6sPGdwrWu,670,6550150730649617
qznQL9mXJ9EogqAyHcx6HdLbqrxbyBKLxiiXVKbqB3vcqrbye,659,6480128007003699
qzpDySz2ADQ8oTRWzHrG34F6L8SzVzoci82V2vYxBj2p7GdJL,640,6170218892668002
qzmHs95q5JRHEqFgVEAK9QNkRUQP1rQiApJFtvkTHgMC6Ch7S,635,6010352926478723
