resonance_network,schrodinger,dirac,planck,totalMinedBlocks,totalRewards
,,qzmoeZ7nMVib4WPmktLCsAN4kNNCEdgWynK2Du5XUWXA4QZ94,,4065,39641151256865707
,,,qzngBkeSDRAU4aE4YzNSMBhgi6L6HoWVNopgpeDUWz7xZF3Yr,3793,1452794536995697
,qzp3cP18hQatXezUdyfgzL8JrogmJZzd8zi3HufzCXfXZe8a1,,,3782,37550278683008636
,,qzmxL7QnoRc7U13dYhYxGHajNCW5rci9QsBhEckVSc7Jm1XU5,,3758,36360491905745898
,,qznjwpAM7oy51RwwRMMagrvyy5zHEbpEiDu27akw4STmA1zbN,,3610,30461048668312126
,,qzp4abhZ4xh7MYXvDu5zFUg9wjG8Lcd1MSzyDYChVFok91xxV,,3610,35165759004064769
,,qzpXyYw3WYhQW4WHY6xUrWWA3K29jd8khQdhAre2AWBkZWyAW,,3578,35014768260886376
,qzq6AsTmxoaTANy3mETvEKDHhFGjxLN9SPgi2rmcxttQfJenn,,,3554,35050514708660739
,,,qzmkLmZ8L8pQCZhYqVsYrwjeNWt2aw8BCBAzP9YGbKCWtQrjj,3546,1316933636493658
qzpJfFKE5ByDBqjcRgYBieKedPrhivsmH13VRUCrdXtsPLdFK,,,,3527,35140039466249259
,,,qznAFkJZAFTWeLx7uszSRUMdEoSSE2fbXCfcEZSXLngE2sVyw,3527,1428221862261988
,,qznNa4SgboRRYChe3rUKJgFu9vyrBsWa62X7KrWwgAnJLVLmN,,3524,34151148782115254
,,qzkvYuYFPgJMwve9RSgLeEC3qKpQ81Mn1BiHWuX1k2yaAUzoq,,3509,33203350941365067
,,qzmswvR98p3fLfTnCUqXR5rMex9Pn8xVjjyFLSYCLtrs6dUwP,,3508,34810219331356350
qzpxE7g7vRq8hGxbD7rESVGGvM5Q7CJypTwzvoEoeDEGB2azL,,,,3503,34850037501164836
,qzoqBe31EaycT5bp7V9nx686Fr255GvP2xa8XWjDRANFFsmeX,,,3496,34870096005252781
,,qzpZBpnnQXRgTE6DvpbMHm8etUi1Bxxdy9VmW5GuvqzEEWTMC,,3481,33331615906591776
,,qzodyzosc3Kow9GV3oqXivj8Q8LQ7dM9T5wnDp5sFcjXQR1HX,,3434,33920458931731537
,,,qzkArpDcgYXXBHjo1KC8gdcPCqa1mey39hV3ikmGT1Q773Hoi,3391,1294083369189439
,,qzpKJ8wBLVE2JkCwqQpWARN9GbQ4yptDTinfMkdE9QzqK7BRz,,3372,32840953652037090
,qzjgWhh2jhRFgD8fQnxp9HJXE34dx5XbPCXFUs6VnXFu8xHBj,,,3337,33260088018648396
,,qzkRCmmoQbVqvGEQshYi6FUYdwxVJ5ES65Dss7NJWuR65YrJV,,3315,31899693537583341
,,,qznjf7KKWr3XMdqUS2FnNh4eo69FWQALYvyd46RKvnkX8fZKf,3280,1265683229128697
,,qzp3TrxcsLLK3r7ymgwDcuksk8KkZXjYw7mUphv7kL67ZqYDN,,3239,31680772057168921
,,qzmyMvHGK9xvbWTaFaV7nCuHAaKXEWWx2oy2qPpK8t35G2GmV,,3147,30321415152458077
,,,qzotFdURyYYVE8PxtvZYPae79XDVZb2mupjwxUzuAp5zbxF2x,3111,1197723252811195
,,qzqBeoPMd275pnrNAeQhmhyu5QJ8SeYNAVA5xZTEdGFTWBAxR,,3039,29800381117463770
,,,qzk3fjVeG9MHEfU9SVzAmUyb8yeDAwANyCzexqz8RQaHDLkV4,3005,1142537407304423
,,,qzkxev6EzBfPY8ehVoesywRqcYQzR3WA3WaXDUHhX6F9AkEJ7,2975,1106767545741472
,,qznbC2n3nbKidee6ekWJQjfoUWbDvmrK81rWf8djuuJfQABd6,,2972,28081807666663952
,,,qzjfjzcmfeZ8Gmx3TRJQHA6Z7ps4LdKBSxJ86FXW6CYM4PhkX,2923,1120655325144894
,,,qznFyjC5J8rev3q38Uq6AgmZZaz6pwVsNGYLY18o33dpQ82UC,2887,1106541942198009
